code;name;sitecode;lat;lon;start;stop;teff;lm;f;lyr
MISKO;KOEN MISKOTTE;93640;52.3333;5.0667;2007-04-19 23:40:00;2007-04-19 23:48:00;0.1300;6.500;1.000;0
MISKO;KOEN MISKOTTE;73025;52.0333;5.6667;2007-04-20 22:45:00;2007-04-20 23:15:00;0.5000;6.100;1.000;0
MISKO;KOEN MISKOTTE;73025;52.0333;5.6667;2007-04-21 00:40:00;2007-04-21 01:33:00;0.8800;6.050;1.000;4
MISKO;KOEN MISKOTTE;73025;52.0333;5.6667;2007-04-21 01:33:00;2007-04-21 02:30:00;0.9500;5.950;1.000;6
MISKO;KOEN MISKOTTE;71414;52.3333;5.6667;2007-04-21 23:45:00;2007-04-22 00:45:00;1.0000;6.330;1.000;3
MISKO;KOEN MISKOTTE;71414;52.3333;5.6667;2007-04-22 00:45:00;2007-04-22 01:50:00;1.0800;6.480;1.000;8
MISKO;KOEN MISKOTTE;71414;52.3333;5.6667;2007-04-22 01:50:00;2007-04-22 03:00:00;1.1700;6.250;1.000;12
MISKO;KOEN MISKOTTE;48264;52.3333;5.6667;2007-04-23 01:00:00;2007-04-23 01:20:00;0.3300;6.150;1.100;3
MISKO;KOEN MISKOTTE;48264;52.3333;5.6667;2007-04-23 01:20:00;2007-04-23 01:40:00;0.3300;6.250;1.000;5
MISKO;KOEN MISKOTTE;48264;52.3333;5.6667;2007-04-23 01:40:00;2007-04-23 02:00:00;0.3300;6.300;1.000;4
MISKO;KOEN MISKOTTE;48264;52.3333;5.6667;2007-04-23 02:00:00;2007-04-23 02:20:00;0.3000;6.230;1.000;3
MISKO;KOEN MISKOTTE;48264;52.3333;5.6667;2007-04-23 02:20:00;2007-04-23 02:40:00;0.3300;6.030;1.000;3
MISKO;KOEN MISKOTTE;48264;52.3333;5.6667;2007-04-23 02:40:00;2007-04-23 02:55:00;0.2500;5.600;1.000;4
MORSA;SABINE WACHTER;98792;51.1000;13.6500;2007-04-21 21:17:00;2007-04-21 22:37:00;1.2500;6.000;1.000;3
NATSV;SVEN NATHER;11149;52.3278;13.0639;2007-04-23 00:03:00;2007-04-23 00:33:00;0.4800;6.140;1.000;4
NATSV;SVEN NATHER;11149;52.3278;13.0639;2007-04-23 00:33:00;2007-04-23 01:03:00;0.4600;6.180;1.000;6
NATSV;SVEN NATHER;11149;52.3278;13.0639;2007-04-23 01:03:00;2007-04-23 01:36:00;0.5200;6.200;1.000;4
NATSV;SVEN NATHER;11149;52.3278;13.0639;2007-04-23 01:36:00;2007-04-23 02:17:00;0.6500;6.130;1.000;4
NEDMA;MARTIN NEDVED;23609;49.9106;14.7836;2007-04-22 21:37:00;2007-04-22 22:20:00;0.5500;5.670;1.000;5
NEDMA;MARTIN NEDVED;23609;49.9106;14.7836;2007-04-22 23:38:00;2007-04-23 00:40:00;0.7700;5.830;1.000;9
NEDMA;MARTIN NEDVED;23609;49.9106;14.7836;2007-04-23 00:40:00;2007-04-23 01:42:00;0.8200;5.880;1.000;5
PAWSP;Swapnil Pawar;43509;19.4333;73.2833;2007-04-21 19:30:00;2007-04-21 20:00:00;0.4920;4.500;1.000;1
PAWSP;Swapnil Pawar;43509;19.4333;73.2833;2007-04-21 20:00:00;2007-04-21 20:30:00;0.5000;4.500;1.000;0
PAWSP;Swapnil Pawar;43509;19.4333;73.2833;2007-04-21 20:30:00;2007-04-21 21:00:00;0.4830;4.500;1.000;2
PAWSP;Swapnil Pawar;43509;19.4333;73.2833;2007-04-21 21:00:00;2007-04-21 21:30:00;0.4830;4.500;1.000;2
PAWSP;Swapnil Pawar;43509;19.4333;73.2833;2007-04-21 21:30:00;2007-04-21 22:00:00;0.5000;4.500;1.000;0
PAWSP;Swapnil Pawar;43509;19.4333;73.2833;2007-04-21 22:00:00;2007-04-21 22:30:00;0.4920;4.500;1.000;1
RATJI;Jatin Rathod;18550;19.4333;73.2833;2007-04-21 19:30:00;2007-04-21 20:00:00;0.4920;4.500;1.000;1
RATJI;Jatin Rathod;18550;19.4333;73.2833;2007-04-21 20:00:00;2007-04-21 20:30:00;0.5000;4.500;1.000;0
RATJI;Jatin Rathod;18550;19.4333;73.2833;2007-04-21 20:30:00;2007-04-21 21:00:00;0.5000;4.500;1.000;0
RATJI;Jatin Rathod;18550;19.4333;73.2833;2007-04-21 21:00:00;2007-04-21 21:30:00;0.4920;5.000;1.000;1
RATJI;Jatin Rathod;18550;19.4333;73.2833;2007-04-21 21:30:00;2007-04-21 22:00:00;0.4920;4.500;1.000;1
RATJI;Jatin Rathod;18550;19.4333;73.2833;2007-04-21 22:00:00;2007-04-21 22:30:00;0.5000;5.000;1.000;0
RATJI;Jatin Rathod;18550;19.4333;73.2833;2007-04-21 22:30:00;2007-04-21 23:00:00;0.4830;5.000;1.000;2
RENJU;JURGEN RENDTEL;11152;52.4594;12.9639;2007-04-15 00:32:00;2007-04-15 02:48:00;2.2000;6.300;1.000;3
RENJU;JURGEN RENDTEL;11152;52.4594;12.9639;2007-04-16 00:34:00;2007-04-16 02:47:00;2.1500;6.310;1.000;4
RENJU;JURGEN RENDTEL;11152;52.4594;12.9639;2007-04-17 00:09:00;2007-04-17 01:20:00;1.1500;6.240;1.000;1
RENJU;JURGEN RENDTEL;11152;52.4594;12.9639;2007-04-17 01:20:00;2007-04-17 02:33:00;1.1800;6.210;1.000;3
RENJU;JURGEN RENDTEL;11152;52.4594;12.9639;2007-04-18 00:25:00;2007-04-18 01:30:00;1.0500;6.250;1.000;2
RENJU;JURGEN RENDTEL;11152;52.4594;12.9639;2007-04-18 01:30:00;2007-04-18 02:35:00;1.0500;6.200;1.000;3
RENJU;JURGEN RENDTEL;11152;52.4594;12.9639;2007-04-19 00:25:00;2007-04-19 01:30:00;1.0500;6.250;1.000;3
RENJU;JURGEN RENDTEL;11152;52.4594;12.9639;2007-04-19 01:30:00;2007-04-19 02:35:00;1.0500;6.210;1.000;3
RENJU;JURGEN RENDTEL;1327;52.5500;14.0167;2007-04-20 22:12:00;2007-04-20 23:30:00;1.3000;6.310;1.000;6
RENJU;JURGEN RENDTEL;1327;52.5500;14.0167;2007-04-21 00:30:00;2007-04-21 01:11:00;0.6000;6.210;1.000;2
RENJU;JURGEN RENDTEL;445;52.5000;14.0167;2007-04-21 01:24:00;2007-04-21 02:16:00;0.8600;6.260;1.000;8
RENJU;JURGEN RENDTEL;69138;52.5500;14.0167;2007-04-21 22:00:00;2007-04-21 22:45:00;0.7500;6.400;1.000;2
RENJU;JURGEN RENDTEL;69138;52.5500;14.0167;2007-04-21 22:45:00;2007-04-21 23:30:00;0.7500;6.420;1.000;3
RENJU;JURGEN RENDTEL;69138;52.5500;14.0167;2007-04-21 23:30:00;2007-04-22 00:15:00;0.7500;6.450;1.000;5
RENJU;JURGEN RENDTEL;69138;52.5500;14.0167;2007-04-22 00:18:00;2007-04-22 01:15:00;0.9500;6.430;1.000;10
RENJU;JURGEN RENDTEL;69138;52.5500;14.0167;2007-04-22 01:15:00;2007-04-22 02:15:00;1.0000;6.330;1.000;6
RENJU;JURGEN RENDTEL;63229;52.5000;14.0167;2007-04-22 21:40:00;2007-04-22 22:10:00;0.5000;6.130;1.000;5
RENJU;JURGEN RENDTEL;63229;52.5000;14.0167;2007-04-22 22:10:00;2007-04-22 22:40:00;0.5000;6.100;1.000;4
RENJU;JURGEN RENDTEL;63229;52.5000;14.0167;2007-04-23 00:10:00;2007-04-23 00:40:00;0.5000;6.200;1.000;10
